"group","cluster"
"Eczema 18; men","A: Infectious/parasitic diseases; F: Nervous system/senses; H: Respiratory system; M: Skin/subcutaneous; S: Injury/poisoning"
"Asthma 18; men","A: Infectious/parasitic diseases; F: Nervous system/senses; H: Respiratory system; M: Skin/subcutaneous; S: Injury/poisoning"
"Eczema 50; men","F: Nervous system/senses; H: Respiratory system; J: Digestive system; M: Skin/subcutaneous; N: Musculoskeletal; R: Ill-defined conditions"
"Asthma 50; men","A: Infectious/parasitic diseases; F: Nervous system/senses; H: Respiratory system; J: Digestive system; K: Genito-urinary system; M: Skin/subcutaneous; N: Musculoskeletal; R: Ill-defined conditions; S: Injury/poisoning"
"Eczema 18; women","A: Infectious/parasitic diseases; F: Nervous system/senses; H: Respiratory system; M: Skin/subcutaneous; S: Injury/poisoning"
"Asthma 18; women","A: Infectious/parasitic diseases; F: Nervous system/senses; H: Respiratory system; M: Skin/subcutaneous; S: Injury/poisoning"
"Eczema 50; women","F: Nervous system/senses; H: Respiratory system; J: Digestive system; M: Skin/subcutaneous; N: Musculoskeletal; R: Ill-defined conditions"
"Asthma 50; women","A: Infectious/parasitic diseases; F: Nervous system/senses; H: Respiratory system; J: Digestive system; K: Genito-urinary system; M: Skin/subcutaneous; N: Musculoskeletal; R: Ill-defined conditions; S: Injury/poisoning"
"Eczema controls; 18; men","A: Infectious/parasitic diseases; H: Respiratory system; M: Skin/subcutaneous"
"Asthma controls; 18; men","A: Infectious/parasitic diseases; F: Nervous system/senses; H: Respiratory system; M: Skin/subcutaneous"
"Eczema controls; 50; men","M: Skin/subcutaneous; N: Musculoskeletal"
"Asthma controls; 50; men","F: Nervous system/senses; H: Respiratory system; K: Genito-urinary system; M: Skin/subcutaneous; N: Musculoskeletal; R: Ill-defined conditions"
"Eczema controls; 18; women","A: Infectious/parasitic diseases; H: Respiratory system; M: Skin/subcutaneous"
"Asthma controls; 18; women","A: Infectious/parasitic diseases; F: Nervous system/senses; H: Respiratory system; M: Skin/subcutaneous"
"Eczema controls; 50; women","M: Skin/subcutaneous; N: Musculoskeletal"
"Asthma controls; 50; women","F: Nervous system/senses; H: Respiratory system; K: Genito-urinary system; M: Skin/subcutaneous; N: Musculoskeletal; R: Ill-defined conditions"
