"","var","Ecase","Econt","Acase","Acont"
"1","_FullCount","434,422 (NA)","1,333,281 (NA)","460,052 (NA)","1,523,963 (NA)"
"2","both","259,222 (56.3)","738,473 (53)","259,222 (59.7)","738,473 (55.4)"
"3","one","200,830 (43.7)","654,894 (47)","175,200 (40.3)","594,808 (44.6)"
"4",NA,NA,NA,NA,NA
"5","age","47 (20.6)","47 (19.6)","44 (19.6)","45 (19)"
"6","(18,20]","15,157 (3.5)","36,035 (2.7)","14,164 (3.1)","39,369 (2.6)"
"7","(20,40]","145,884 (34)","429,789 (32)","173,191 (38)","525,753 (34)"
"8","(40,60]","125,195 (29)","426,218 (32)","139,846 (30)","503,261 (33)"
"9","(60,80]","108,912 (25)","337,987 (25)","101,427 (22)","354,287 (23)"
"10","(80,100]","39,038 (9)","102,638 (7.7)","31,236 (6.8)","100,746 (6.6)"
"11",NA,"236 (0.054)","614 (0.046)","188 (0.041)","547 (0.036)"
"12",NA,NA,NA,NA,NA
"13","Female","251,251 (58)","738,279 (55)","251,926 (55)","812,165 (53)"
"14","Male","183,171 (42)","595,002 (45)","208,126 (45)","711,798 (47)"
"15",NA,NA,NA,NA,NA
"16","A: Infectious/parasitic diseases","312,098 (72)","670,680 (50)","306,080 (67)","765,863 (50)"
"17","B: Neoplasms","149,493 (34)","369,973 (28)","143,046 (31)","408,120 (27)"
"18","C: Endocrine/metabolic","156,719 (36)","388,373 (29)","150,516 (33)","420,520 (28)"
"19","D: Blood diseases","59,748 (14)","126,129 (9.5)","54,768 (12)","136,739 (9)"
"20","E: Mental disorders","208,728 (48)","504,918 (38)","215,314 (47)","566,486 (37)"
"21","F: Nervous system/senses","342,550 (79)","811,457 (61)","338,286 (74)","910,264 (60)"
"22","G: Circulatory system","197,157 (45)","503,260 (38)","186,798 (41)","548,544 (36)"
"23","H: Respiratory system","371,600 (86)","888,421 (67)","407,520 (89)","987,959 (65)"
"24","J: Digestive system","267,700 (62)","624,300 (47)","264,316 (57)","697,196 (46)"
"25","K: Genito-urinary system","277,638 (64)","672,914 (50)","271,994 (59)","747,564 (49)"
"26","L: Pregnancy/childbirth","91,275 (21)","246,357 (18)","92,105 (20)","276,842 (18)"
"27","M: Skin/subcutaneous","434,422 (100)","840,711 (63)","425,305 (92)","976,739 (64)"
"28","N: Musculoskeletal","339,610 (78)","875,221 (66)","341,184 (74)","979,221 (64)"
"29","P: Congenital anomalies","30,115 (6.9)","67,266 (5)","30,997 (6.7)","78,407 (5.1)"
"30","Q: Perinatal conditions","13,185 (3)","22,396 (1.7)","12,375 (2.7)","25,807 (1.7)"
"31","R: Ill-defined conditions","305,969 (70)","701,401 (53)","300,286 (65)","777,864 (51)"
"32","S: Injury/poisoning","303,537 (70)","745,678 (56)","313,424 (68)","848,393 (56)"
"33","T: Causes of injury/poisoning","138,165 (32)","300,147 (23)","136,331 (30)","333,893 (22)"
"34","U: External causes","30,276 (7)","69,687 (5.2)","33,415 (7.3)","79,604 (5.2)"
