var,control_n,control_pc,case_n,case_pc
n,1601210,NA,517712,NA
age,45,18.769153940051453,44,19.050791471018176
"(18,20]",37912,0.02367709419751313,13321,0.025730521989059556
"(20,40]",550756,0.3439623784512962,197787,0.3820405939982075
"(40,60]",540549,0.33758782420794275,162946,0.3147425595697994
"(60,80]",370734,0.2315336526751644,112237,0.21679427944494237
"(80,100]",100829,0.06297050355668525,31276,0.06041196649874834
NA,430,2.685469113982551e-4,145,2.800784992428223e-4
Female,276943,0.5349364125227926,844582,0.5274648547036304
Male,240769,0.4650635874772074,756628,0.47253514529636964
A,2210552,0.053,1058055,0.047
B,940182,0.023,341908,0.015
C,1469116,0.035,619246,0.028
D,281690,0.0068,124012,0.0056
E,2204667,0.053,1068032,0.048
F,3963417,0.095,1802883,0.081
G,2382042,0.057,918230,0.041
H,4624551,0.11,5493530,0.25
J,2439236,0.059,1149609,0.051
K,3037490,0.073,1301013,0.058
L,720046,0.017,264835,0.012
M,4823807,0.12,2302637,0.1
N,6251781,0.15,2803287,0.13
P,131486,0.0032,55139,0.0025
Q,36576,8.8e-4,18637,8.3e-4
R,2815815,0.068,1443673,0.065
S,2613855,0.063,1220900,0.055
T,596423,0.014,291493,0.013
U,124507,0.003,64614,0.0029
W,2,4.8e-8,0,0
