var,control_n,control_pc,case_n,case_pc
n,1333281,NA,434422,NA
age,47,19.5503992305094,47,20.61119980938129
"(18,20]",36035,0.02702731082194976,15157,0.03489003779734912
"(20,40]",429789,0.3223544024102946,145884,0.3358117222424279
"(40,60]",426218,0.31967604728485594,125195,0.2881875227313534
"(60,80]",337987,0.2535001998828454,108912,0.25070553517087074
"(80,100]",102638,0.07698152152471985,39038,0.08986193148597446
NA,614,4.6051807533445686e-4,236,5.43250572024437e-4
Female,251251,0.5783569892869146,738279,0.5537309839411196
Male,183171,0.4216430107130854,595002,0.4462690160588803
A,1682968,0.05,1094261,0.054
B,753339,0.022,334192,0.016
C,1188362,0.035,562111,0.028
D,231534,0.0068,123540,0.0061
E,1758796,0.052,898402,0.044
F,3164882,0.093,1881593,0.093
G,1932214,0.057,898622,0.044
H,4667773,0.14,3084576,0.15
J,1980883,0.058,1060600,0.052
K,2491376,0.073,1322317,0.065
L,533568,0.016,209963,0.01
M,3257706,0.096,3271889,0.16
N,5234908,0.15,2767416,0.14
P,92357,0.0027,44452,0.0022
Q,27364,8.1e-4,16607,8.2e-4
R,2358312,0.069,1423084,0.07
S,2022697,0.06,996966,0.049
T,473744,0.014,244699,0.012
U,92673,0.0027,41420,0.002
V,1,2.9e-8,0,0
W,1,2.9e-8,0,0
